round,global_accuracy,num_clients,global_drift_flag,clients_with_drift,delta_t,delta_0,band_lo,band_hi,phase,label
1,0.2174,10,0,[],,,,,INIT,IID_wilbik_s22
2,0.3061,10,0,[],,,,,INIT,IID_wilbik_s22
3,0.3754,10,0,[],,,,,INIT,IID_wilbik_s22
4,0.4208,10,0,[],,25.59152654668766,20.47322123735013,30.70983185602519,INIT,IID_wilbik_s22
5,0.4463,10,1,[],33.11238854528475,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
6,0.4623,10,1,[],37.64332233201956,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
7,0.4761,10,1,[],39.45441476374496,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
8,0.4875,10,1,[],38.81137059555768,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
9,0.505,10,1,[],44.62839320279108,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
10,0.5125,10,1,[],48.08934908237293,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
11,0.5204,10,1,[],46.99993030483341,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
12,0.5272,10,1,[],51.13607051935917,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
13,0.5367,10,1,[],51.709187070659546,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
14,0.5461,10,1,[],54.243700723830415,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
15,0.5499,10,1,[],57.48796603328776,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
16,0.556,10,1,[],60.14138491725956,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
17,0.5621,10,1,[],59.32172915460927,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
18,0.5703,10,1,[],62.65932788118058,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
19,0.5712,10,1,[],63.662093863104836,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
20,0.5716,10,1,[],66.24271069136722,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
21,0.5822,10,1,[],63.863177293224005,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
22,0.5851,10,1,[],68.39088842608244,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
23,0.5831,10,1,[],68.35720245271533,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
24,0.5869,10,1,[],70.4704596643487,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
25,0.5903,10,1,[],69.3797891543705,25.59152654668766,20.47322123735013,30.70983185602519,MONITOR,IID_wilbik_s22
