cid,mean_accuracy,rounds,total_examples
3206105892819485059,0.3238,5,5000
14862237386343756974,0.3214,5,5000
2743623980500834158,0.3156,5,5000
7880303334638018170,0.3038,5,5000
13276543368072569128,0.2998,5,5000
6725818236318858033,0.29779999999999995,5,5000
4586871352284041447,0.2974,5,5000
7590888324061161972,0.2952,5,5000
9035526996921367396,0.2928,5,5000
3560062529149627877,0.2872,5,5000
