round,global_accuracy,num_clients,clients_with_drift,label
1,0.14972513743128435,10,,nonIID_wilbik
2,0.1871064467766117,10,,nonIID_wilbik
3,0.28235882058970513,10,GLOBAL,nonIID_wilbik
4,0.3213393303348326,10,GLOBAL,nonIID_wilbik
5,0.35762118940529736,10,GLOBAL,nonIID_wilbik
