round,global_accuracy,num_clients,clients_with_drift,label
1,0.12913543228385807,10,,nonIID_entropy_adaptive
2,0.21669165417291356,10,4631182051034208186,nonIID_entropy_adaptive
3,0.30974512743628185,10,4631182051034208186,nonIID_entropy_adaptive
4,0.3296351824087956,10,4631182051034208186,nonIID_entropy_adaptive
5,0.37671164417791103,10,4631182051034208186,nonIID_entropy_adaptive
