round,global_accuracy,num_clients,clients_with_drift
1,0.1455272363818091,10,10142607324360177573;11246996905165993303;12475573460563542607;13529031785998700347;14527032634604254307;219175091871855397;2261539350220738661;32396880213009216;417062913962717287;8450158259577345277
2,0.18820589705147425,10,10142607324360177573;11246996905165993303;12475573460563542607;13529031785998700347;14527032634604254307;219175091871855397;32396880213009216;417062913962717287;8450158259577345277
3,0.2640679660169915,10,10142607324360177573;11246996905165993303;12475573460563542607;13529031785998700347;14527032634604254307;2261539350220738661;32396880213009216;417062913962717287;8450158259577345277
4,0.3182408795602199,10,11246996905165993303;12475573460563542607;13529031785998700347;14527032634604254307;219175091871855397;2261539350220738661;32396880213009216;417062913962717287;8450158259577345277
5,0.34962518740629683,10,10142607324360177573;11246996905165993303;12475573460563542607;13529031785998700347;14527032634604254307;219175091871855397;2261539350220738661;32396880213009216;417062913962717287;8450158259577345277
